Entity,year,GDP
Africa,1995,821
Northern Africa,1995,"1,285"
Sub-Saharan Africa,1995,686
Eastern Africa,1995,324
Middle Africa,1995,431
Southern Africa,1995,"3,566"
Western Africa,1995,512
Americas,1995,"13,162"
Northern America,1995,"28,017"
Latin America & the Caribbean,1995,"4,086"
Caribbean,1995,"3,450"
Central America,1995,"3,308"
South America,1995,"4,456"
Asia,1995,"2,668"
Central Asia,1995,783
Eastern Asia,1995,"4,974"
South-eastern Asia,1995,"1,457"
Southern Asia,1995,472
Western Asia,1995,"3,977"
Europe,1995,"14,617"
Eastern Europe,1995,"2,567"
Northern Europe,1995,"23,439"
Southern Europe,1995,"14,739"
Western Europe,1995,"30,523"
Oceania,1995,"16,251"
Australia and New Zealand,1995,"20,964"
Melanesia,1995,"2,033"
Micronesia,1995,"2,132"
Polynesia,1995,"9,675"
Afghanistan,1995,152
Albania,1995,769
Algeria,1995,"1,459"
Andorra,1995,"23,359"
Angola,1995,476
Anguilla,1995,"10,515"
Antigua and Barbuda,1995,"8,407"
Argentina,1995,"8,031"
Armenia,1995,426
Aruba,1995,"17,229"
Australia,1995,"21,736"
Austria,1995,"30,169"
Azerbaijan,1995,396
Bahamas,1995,"18,433"
Bahrain,1995,"12,040"
Bangladesh,1995,329
Barbados,1995,"8,637"
Belarus,1995,"1,421"
Belgium,1995,"28,276"
Belize,1995,"2,998"
Benin,1995,397
Bermuda,1995,"40,301"
Bhutan,1995,541
Bolivia (Plurin. State of),1995,881
Bosnia and Herzegovina,1995,519
Botswana,1995,"3,220"
Brazil,1995,"4,802"
British Virgin Islands,1995,"23,475"
Brunei Darussalam,1995,"17,655"
Bulgaria,1995,"2,267"
Burkina Faso,1995,268
Burundi,1995,167
Cabo Verde,1995,"1,444"
Cambodia,1995,311
Cameroon,1995,709
Canada,1995,"20,777"
Cayman Islands,1995,"53,127"
Central African Republic,1995,362
Chad,1995,234
Chile,1995,"5,222"
China,1995,592
"China, Hong Kong SAR",1995,"23,775"
"China, Macao SAR",1995,"18,277"
Colombia,1995,"3,009"
Comoros,1995,"1,016"
Congo,1995,815
Cook Islands,1995,"6,052"
Costa Rica,1995,"3,264"
Côte d’Ivoire,1995,782
Croatia,1995,"4,921"
Cuba,1995,"2,795"
Cyprus,1995,"15,265"
Czechia,1995,"5,807"
Dem. People's Rep. Korea,1995,222
Dem. Rep. of the Congo,1995,215
Denmark,1995,"35,356"
Djibouti,1995,808
Dominica,1995,"3,861"
Dominican Republic,1995,"2,014"
Ecuador,1995,"2,132"
Egypt,1995,"1,055"
El Salvador,1995,"1,585"
Equatorial Guinea,1995,433
Eritrea,1995,290
Estonia,1995,"3,123"
Eswatini,1995,"2,052"
Ethiopia,1995,133
Fiji,1995,"2,571"
Finland,1995,"26,213"
France,1995,"26,904"
French Polynesia,1995,"20,271"
Gabon,1995,"5,087"
Gambia,1995,"1,157"
Georgia,1995,571
Germany,1995,"31,867"
Ghana,1995,806
Greece,1995,"12,739"
Greenland,1995,"23,671"
Grenada,1995,"2,774"
Guatemala,1995,"1,235"
Guinea,1995,724
Guinea-Bissau,1995,735
Guyana,1995,"1,302"
Haiti,1995,489
Honduras,1995,828
Hungary,1995,"4,487"
Iceland,1995,"26,618"
India,1995,386
Indonesia,1995,"1,196"
Iran (Islamic Republic of),1995,"1,861"
Iraq,1995,241
Ireland,1995,"19,248"
Israel,1995,"19,085"
Italy,1995,"20,546"
Jamaica,1995,"2,596"
Japan,1995,"43,885"
Jordan,1995,"1,513"
Kazakhstan,1995,"1,298"
Kenya,1995,530
Kiribati,1995,895
Kosovo,1995,"2,351"
Kuwait,1995,"16,535"
Kyrgyzstan,1995,327
Lao People's Dem. Rep.,1995,382
Latvia,1995,"2,156"
Lebanon,1995,"3,261"
Lesotho,1995,471
Liberia,1995,102
Libya,1995,"5,717"
Liechtenstein,1995,"87,281"
Lithuania,1995,"1,847"
Luxembourg,1995,"51,093"
Madagascar,1995,272
Malawi,1995,251
Malaysia,1995,"4,336"
Maldives,1995,"2,228"
Mali,1995,296
Malta,1995,"9,871"
Marshall Islands,1995,"2,479"
Mauritania,1995,"1,025"
Mauritius,1995,"3,786"
Mexico,1995,"3,928"
